co_despesa;co_unidade_demandante;dt_pagamento;vr_total;observacao;matricula_usuario_inclusao;created_at;updated_at
76;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
77;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
78;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
79;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
80;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
81;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
82;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
83;7096	;	2022-01-28	;5539,10;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
84;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
85;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
86;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
87;7096	;	2022-01-28	;5620,22;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
88;7096	;	2022-01-28	;5708,63;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
89;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
90;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
91;7096	;	2022-01-28	;5258,67;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
92;7096	;	2022-01-28	;5258,67;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
93;7096	;	2022-01-28	;4443,29;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
94;7096	;	2022-01-28	;4966,33;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
95;7096	;	2022-01-28	;5563,37;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
